model_id,fold,scenario_id,available_count,available_modalities,drop_modalities,macro_f1,micro_f1,mean_average_precision,brier_score,seed_count
B4,2,mask.110000,2,phone_acc|phone_gyro,watch_acc|location|audio|phone_state,0.387180770078,0.576490820982,0.388157070993,0.190396540989,3
B4,2,mask.110001,3,phone_acc|phone_gyro|phone_state,watch_acc|location|audio,0.501687579532,0.664613475755,0.50622595349,0.157579056289,3
B4,2,mask.110010,3,phone_acc|phone_gyro|audio,watch_acc|location|phone_state,0.472170955656,0.649614431786,0.481761880399,0.149502125188,3
B4,2,mask.110011,4,phone_acc|phone_gyro|audio|phone_state,watch_acc|location,0.525089541364,0.676419395266,0.533760134594,0.144990913304,3
B4,2,mask.110100,3,phone_acc|phone_gyro|location,watch_acc|audio|phone_state,0.461057040781,0.582893108155,0.448175040606,0.176618964942,3
B4,2,mask.110101,4,phone_acc|phone_gyro|location|phone_state,watch_acc|audio,0.557916723673,0.685376797901,0.555879909021,0.142182338967,3
B4,2,mask.110110,4,phone_acc|phone_gyro|location|audio,watch_acc|phone_state,0.517172516859,0.649928996834,0.514218629891,0.143563826925,3
B4,2,mask.110111,5,phone_acc|phone_gyro|location|audio|phone_state,watch_acc,0.568388264647,0.697251109337,0.571688950599,0.132620619262,3
B4,2,mask.111000,3,phone_acc|phone_gyro|watch_acc,location|audio|phone_state,0.468152769053,0.587580956989,0.496395657417,0.175534202917,3
B4,2,mask.111001,4,phone_acc|phone_gyro|watch_acc|phone_state,location|audio,0.571280443751,0.677819266531,0.577129293779,0.14782027827,3
B4,2,mask.111010,4,phone_acc|phone_gyro|watch_acc|audio,location|phone_state,0.548612455752,0.676835905634,0.558317400286,0.135775494831,3
B4,2,mask.111011,5,phone_acc|phone_gyro|watch_acc|audio|phone_state,location,0.583722008532,0.698844950098,0.592318269401,0.133543994837,3
B4,2,mask.111100,4,phone_acc|phone_gyro|watch_acc|location,audio|phone_state,0.496377422381,0.595740033233,0.5235676714,0.172116513527,3
B4,2,mask.111101,5,phone_acc|phone_gyro|watch_acc|location|phone_state,audio,0.593148886556,0.690418188634,0.599150664075,0.138584239171,3
B4,2,mask.111110,5,phone_acc|phone_gyro|watch_acc|location|audio,phone_state,0.559708929026,0.671106647762,0.575455723155,0.136236281645,3
B4,2,mask.111111,6,phone_acc|phone_gyro|watch_acc|location|audio|phone_state,,0.600816807579,0.711345073809,0.611381684518,0.126060686747,3
B4,3,mask.000001,1,phone_state,phone_acc|phone_gyro|watch_acc|location|audio,0.377599402229,0.592298261389,0.401321736579,0.18689401387,3
B4,3,mask.000010,1,audio,phone_acc|phone_gyro|watch_acc|location|phone_state,0.360871820468,0.602522017729,0.36996172831,0.170889612818,3
B4,3,mask.000011,2,audio|phone_state,phone_acc|phone_gyro|watch_acc|location,0.444980777542,0.67394217193,0.443055706785,0.158545117057,3
B4,3,mask.000100,1,location,phone_acc|phone_gyro|watch_acc|audio|phone_state,0.254920667194,0.534910652351,0.305810788851,0.176817679933,3
B4,3,mask.000101,2,location|phone_state,phone_acc|phone_gyro|watch_acc|audio,0.41703566982,0.649882277298,0.413933784124,0.155322843265,3
B4,3,mask.000110,2,location|audio,phone_acc|phone_gyro|watch_acc|phone_state,0.401817603668,0.634955780207,0.414945898131,0.142103566844,3
B4,3,mask.000111,3,location|audio|phone_state,phone_acc|phone_gyro|watch_acc,0.47724908261,0.70146323451,0.474142987138,0.133225454743,3
B4,3,mask.001000,1,watch_acc,phone_acc|phone_gyro|location|audio|phone_state,0.318749216842,0.510700361691,0.387355752866,0.188190594483,3
B4,3,mask.001001,2,watch_acc|phone_state,phone_acc|phone_gyro|location|audio,0.461693213827,0.629569279051,0.476039795411,0.164162769232,3
B4,3,mask.001010,2,watch_acc|audio,phone_acc|phone_gyro|location|phone_state,0.455392762467,0.636628845197,0.468821950478,0.152922243997,3
B4,3,mask.001011,3,watch_acc|audio|phone_state,phone_acc|phone_gyro|location,0.512269489236,0.690949575243,0.521131522637,0.14451461234,3
B4,3,mask.001100,2,watch_acc|location,phone_acc|phone_gyro|audio|phone_state,0.397396035774,0.589512052047,0.432496552935,0.162390978779,3
